meter_id,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08
M01001,0.9309,0.5536,0.7005,0.6441,0.433,0.7415,0.6664,0.6751
M01002,0.9401,0.5576,0.5298,0.7244,0.6254,0.688,0.5552,0.4795
M01003,0.8273,0.4223,0.6897,0.6211,0.6653,0.5241,0.7397,0.7126
M01004,0.8552,0.4681,0.5634,0.4153,0.454,0.6391,0.6607,0.7386
M01005,0.9133,0.5297,0.5643,0.4663,0.4455,0.5665,0.4794,0.6344
M01006,0.9487,0.6914,0.6451,0.5093,0.6913,0.6817,0.5356,0.5009
M01007,0.8207,0.4489,0.47,0.4026,0.6754,0.6327,0.6468,0.6733
M01008,0.8972,0.5991,0.4489,0.4401,0.6339,0.5649,0.5978,0.6677
M01009,0.9216,0.5938,0.5957,0.5064,0.4108,0.5529,0.4751,0.543
M01010,0.8244,0.4819,0.4204,0.4985,0.5028,0.6317,0.595,0.6744
M02001,0.6325,0.8802,0.6849,0.4584,0.4079,0.4315,0.6528,0.5617
M02002,0.4564,0.9543,0.4533,0.6437,0.5562,0.5334,0.5055,0.6206
M02003,0.5266,0.9207,0.4413,0.7367,0.718,0.6449,0.4931,0.7392
M02004,0.6726,0.8556,0.5573,0.4953,0.4337,0.7159,0.5595,0.4708
M02005,0.5071,0.9479,0.4619,0.6998,0.6655,0.6518,0.5512,0.6196
M02006,0.6044,0.8722,0.4296,0.5455,0.4146,0.5729,0.5155,0.4506
M02007,0.4362,0.948,0.4597,0.7238,0.6034,0.5214,0.6068,0.408
M02008,0.7355,0.8648,0.674,0.429,0.5703,0.5717,0.7282,0.6001
M02009,0.5657,0.9085,0.516,0.5822,0.5536,0.4076,0.6892,0.7137
M02010,0.4491,0.8795,0.438,0.6353,0.4984,0.6308,0.6544,0.669
M03001,0.4377,0.7206,0.8612,0.4131,0.5942,0.5298,0.6904,0.6829
M03002,0.511,0.7335,0.953,0.5803,0.4896,0.7276,0.4576,0.4157
M03003,0.5523,0.7473,0.8481,0.662,0.7118,0.7127,0.5816,0.5106
M03004,0.6702,0.6316,0.8327,0.4331,0.6614,0.4919,0.7279,0.4843
M03005,0.443,0.6909,0.8713,0.4627,0.6098,0.7061,0.4688,0.5086
M03006,0.6721,0.7401,0.9276,0.4504,0.4049,0.4804,0.4461,0.6372
M03007,0.4426,0.5772,0.9411,0.6034,0.4699,0.6814,0.6504,0.6586
M03008,0.4459,0.4433,0.9698,0.5392,0.5053,0.571,0.632,0.7345
M03009,0.5003,0.7237,0.8645,0.5943,0.6219,0.4371,0.4491,0.5467
M03010,0.7382,0.6086,0.8812,0.6815,0.5636,0.6747,0.4062,0.4382
M04001,0.6903,0.6789,0.4814,0.8405,0.6121,0.7037,0.6111,0.5444
M04002,0.531,0.5491,0.6282,0.9062,0.5589,0.4867,0.4828,0.6611
M04003,0.6858,0.4368,0.4233,0.9696,0.4512,0.6886,0.5086,0.4504
M04004,0.7223,0.4579,0.4997,0.9251,0.4404,0.4074,0.4194,0.4611
M04005,0.4187,0.6069,0.6383,0.9093,0.5113,0.5766,0.7063,0.6979
M04006,0.4152,0.4635,0.4829,0.8789,0.5999,0.5457,0.4172,0.5308
M04007,0.5833,0.4356,0.6917,0.9573,0.7237,0.4347,0.6953,0.7159
M04008,0.7428,0.6807,0.6728,0.8945,0.6726,0.4471,0.5876,0.58
M04009,0.7002,0.562,0.5348,0.8402,0.4933,0.4489,0.5673,0.5459
M04010,0.4814,0.5286,0.5282,0.8748,0.5328,0.64,0.5039,0.7321
M05001,0.7207,0.5683,0.5149,0.5874,0.8301,0.6284,0.6815,0.5865
M05002,0.6215,0.5009,0.6572,0.4708,0.8503,0.7013,0.4462,0.615
M05003,0.4333,0.654,0.4296,0.7276,0.8227,0.7356,0.6803,0.6078
M05004,0.6739,0.6783,0.7311,0.4887,0.888,0.4333,0.6157,0.46
M05005,0.5977,0.6004,0.5631,0.5829,0.9152,0.6797,0.5723,0.6099
M05006,0.7259,0.4419,0.441,0.4307,0.8715,0.5465,0.671,0.6349
M05007,0.5168,0.7144,0.6669,0.4947,0.8831,0.5101,0.4552,0.4517
M05008,0.7276,0.5533,0.5342,0.6554,0.9639,0.7276,0.6731,0.5678
M05009,0.5317,0.7453,0.6512,0.7329,0.9328,0.6977,0.623,0.4427
M05010,0.6059,0.6401,0.4043,0.559,0.9011,0.5034,0.5605,0.5548
M06001,0.5057,0.7215,0.6735,0.4387,0.749,0.8627,0.4994,0.6929
M06002,0.4372,0.7497,0.633,0.6275,0.4317,0.9545,0.4101,0.4843
M06003,0.4501,0.6719,0.4694,0.7187,0.6297,0.8553,0.4019,0.4181
M06004,0.6121,0.6805,0.4835,0.6973,0.42,0.8688,0.7247,0.6702
M06005,0.6443,0.6933,0.4141,0.4706,0.4437,0.9564,0.6608,0.6205
M06006,0.6979,0.4543,0.6571,0.4676,0.4948,0.8994,0.7431,0.614
M06007,0.4191,0.6157,0.4148,0.7095,0.6484,0.9313,0.4321,0.4642
M06008,0.743,0.5605,0.6744,0.6227,0.6003,0.9086,0.7311,0.5055
M06009,0.6023,0.6449,0.6272,0.7292,0.452,0.918,0.5414,0.566
M06010,0.4417,0.4469,0.4973,0.5066,0.5498,0.8649,0.6221,0.5441
M07001,0.5431,0.4762,0.6059,0.511,0.4126,0.5464,0.8562,0.479
M07002,0.6004,0.598,0.6457,0.6268,0.6284,0.5107,0.8684,0.5922
M07003,0.551,0.6191,0.5262,0.5795,0.6578,0.7102,0.8433,0.5763
M07004,0.5821,0.68,0.5101,0.6931,0.5729,0.4405,0.9511,0.6947
M07005,0.4194,0.4982,0.5169,0.4605,0.5099,0.6599,0.8625,0.6895
M07006,0.6998,0.5303,0.4538,0.6103,0.4419,0.5277,0.9042,0.7484
M07007,0.6702,0.5088,0.6407,0.6469,0.5357,0.6243,0.9388,0.4732
M07008,0.5838,0.4573,0.4581,0.6927,0.7462,0.5946,0.9376,0.7466
M07009,0.4496,0.5569,0.5374,0.428,0.6644,0.5518,0.8858,0.4527
M07010,0.4633,0.7175,0.4156,0.4815,0.5022,0.5716,0.8914,0.5727
M08001,0.4294,0.4853,0.6953,0.6232,0.6272,0.6346,0.667,0.9692
M08002,0.5283,0.5888,0.5185,0.6956,0.5689,0.669,0.6982,0.9212
M08003,0.7183,0.6055,0.6976,0.5192,0.5746,0.586,0.4367,0.9422
M08004,0.7211,0.6208,0.4621,0.5186,0.4671,0.4087,0.7246,0.9554
M08005,0.5076,0.6095,0.4026,0.4973,0.6461,0.6218,0.7436,0.9381
M08006,0.5671,0.6665,0.7162,0.6522,0.7371,0.6737,0.7034,0.8478
M08007,0.6563,0.554,0.5936,0.6289,0.7394,0.7446,0.5009,0.9043
M08008,0.6625,0.5213,0.4434,0.4143,0.6721,0.5714,0.7449,0.8353
M08009,0.7423,0.5441,0.6778,0.4297,0.5944,0.6807,0.7236,0.9179
M08010,0.4129,0.5304,0.417,0.4382,0.6364,0.6496,0.6708,0.9633
