priority_rank,meter_id,zone_id,zone_name,alert_tier,risk_score,l1_score,if_score,peer_score,signals_triggered,anomaly_rate,low_flag_rate,frac_very_low,frac_very_high,autocorr,reason_codes,zone_risk_level,full_alert_reason
1,M02008,Z02,Koramangala,High,0.6340336146889914,0.3231481481481481,1.0,0.0837270513485585,2,0.2540509259259259,0.3231481481481481,0.3148148148148148,0.0034722222222222,0.5025102803740317,Consumption below 20% of zone mean for 31% of time (possible bypass); Sustained low consumption: 32% readings flagged (under-reporting risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Possible Meter Bypass Detected: Consumption significant below zone forecast for 0.8 hours. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
2,M04006,Z04,Whitefield,High,0.6189546031089334,0.0098379629629629,0.6637782902672134,0.9999999998600436,2,0.0098379629629629,0.0,0.998148148148148,0.0,0.3519267843828877,Consumption below 20% of zone mean for 99% of time (possible bypass); Low temporal consistency (autocorr=0.35) — consumption pattern irregular; Load shape significantly different from zone peers (feeder mapping anomaly possible),Low,Possible Meter Bypass Detected: Consumption significant below zone forecast for 0.8 hours. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
3,M02004,Z02,Koramangala,High,0.6137114537564472,0.333912037037037,0.6811810523460119,0.4974792794203178,2,0.3006944444444444,0.333912037037037,0.5690972222222223,0.0,0.762369164838864,Consumption below 20% of zone mean for 56% of time (possible bypass); Sustained low consumption: 33% readings flagged (under-reporting risk),Low,Possible Meter Bypass Detected: Consumption significant below zone forecast for 0.8 hours. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
4,M03009,Z03,Indiranagar,Medium,0.5840988462836554,0.2166666666666666,1.0,0.0330620518012879,2,0.2060185185185185,0.2166666666666666,0.2333333333333333,0.0952546296296296,0.9479769552837778,Consumption below 20% of zone mean for 23% of time (possible bypass); Sustained low consumption: 21% readings flagged (under-reporting risk); Periodic high spikes: 9% readings exceed 3x zone mean (illegal equipment risk),Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
5,M01004,Z01,Jayanagar,Medium,0.5707286887115084,0.18125,1.0,0.0291647548460336,2,0.0493055555555555,0.18125,0.0,0.0627314814814814,0.4284786004246912,Periodic high spikes: 6% readings exceed 3x zone mean (illegal equipment risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
6,M05002,Z05,Rajajinagar,Medium,0.5632397025075186,0.1728009259259259,1.0,0.0110375137337781,2,0.1134259259259259,0.1728009259259259,0.0,0.112037037037037,0.9719410281392836,Periodic high spikes: 11% readings exceed 3x zone mean (illegal equipment risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
7,M06005,Z06,HSR Layout,Medium,0.5592386466971299,0.1538194444444444,1.0,0.021607364566297,2,0.0530092592592592,0.1538194444444444,0.0862268518518518,0.0070601851851851,0.3845388752019431,Low temporal consistency (autocorr=0.38) — consumption pattern irregular; Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
8,M01005,Z01,Jayanagar,Medium,0.5501308256123226,0.1722222222222222,0.6131788055814373,0.5783261024078796,3,0.1134259259259259,0.1722222222222222,0.6270833333333333,0.0,0.982176749823808,Consumption below 20% of zone mean for 62% of time (possible bypass),Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
9,M07010,Z07,Malleshwaram,Medium,0.4147706443408455,0.0,1.0,0.059082577363382,1,0.0,0.0,0.0,0.0,0.5728756265666827,Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
10,M04002,Z04,Whitefield,Medium,0.4140997187344657,0.0,1.0,0.0563988749378626,1,0.0,0.0,0.0,0.0,0.5576660108770666,Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
11,M08009,Z08,Electronic City,Medium,0.4118630747396836,0.0,1.0,0.0474522989587344,1,0.0,0.0,0.0,0.0,0.5719981235780993,Isolation Forest: meter profile classified as statistical outlier in zone peer group,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
12,M05001,Z05,Rajajinagar,Medium,0.4108045765652649,0.1729166666666666,0.6104315955604924,0.0244444200309382,2,0.1160879629629629,0.1729166666666666,0.0440972222222222,0.0002314814814814,0.9752913296091829,Minor multi-signal deviation from expected consumption pattern,Low,Irregular Consumption Pattern: Consumption deviated significant from expected pattern. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
13,M02005,Z02,Koramangala,Low,0.3471149607245308,0.35625,0.5493881070516216,0.0106888716155287,1,0.3163194444444444,0.35625,0.3050925925925926,0.0920138888888889,0.8159463619244043,Consumption below 20% of zone mean for 30% of time (possible bypass); Sustained low consumption: 35% readings flagged (under-reporting risk); Periodic high spikes: 9% readings exceed 3x zone mean (illegal equipment risk),Low,Minor Anomaly Flagged: Minor deviation of significant detected. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
14,M02002,Z02,Koramangala,Low,0.30877905689107,0.3578703703703704,0.4521263939126632,0.0106954787855005,1,0.3337962962962963,0.3578703703703704,0.3011574074074074,0.1104166666666666,0.8322367506657775,Consumption below 20% of zone mean for 30% of time (possible bypass); Sustained low consumption: 35% readings flagged (under-reporting risk); Periodic high spikes: 11% readings exceed 3x zone mean (illegal equipment risk),Low,Minor Anomaly Flagged: Minor deviation of significant detected. Zone peer average recorded higher consumption than this meter. Anomaly persisted across 3 consecutive 15-minute readings (0.8h). LOW: Monitor for recurrence before dispatching.
