priority_rank,meter_id,zone_id,zone_name,alert_tier,risk_score,l1_score,if_score,peer_score,signals_triggered,anomaly_rate,low_flag_rate,frac_very_low,frac_very_high,autocorr,reason_codes
1,M02008,Z02,Koramangala,High,0.6311402879122863,0.32002314814814814,1.0,0.07652874424173789,2,0.25324074074074077,0.32002314814814814,0.30995370370370373,0.0020833333333333333,0.48940286594192683,Consumption below 20% of zone mean for 30% of time (possible bypass); Sustained low consumption: 32% readings flagged (under-reporting risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group
2,M04006,Z04,Whitefield,High,0.6281497561002914,0.01574074074074074,0.6816012421841284,0.9999999998695235,2,0.01574074074074074,0.0,0.9996527777777777,0.0,0.3513329419541766,Consumption below 20% of zone mean for 99% of time (possible bypass); Low temporal consistency (autocorr=0.35) — consumption pattern irregular; Load shape significantly different from zone peers (feeder mapping anomaly possible)
3,M03009,Z03,Indiranagar,Medium,0.579205894645556,0.2042824074074074,1.0,0.03082820821185385,2,0.19050925925925927,0.2042824074074074,0.24444444444444444,0.09212962962962963,0.9567574771007408,Consumption below 20% of zone mean for 24% of time (possible bypass); Sustained low consumption: 20% readings flagged (under-reporting risk); Periodic high spikes: 9% readings exceed 3x zone mean (illegal equipment risk)
4,M02004,Z02,Koramangala,Medium,0.5702832123116675,0.33587962962962964,0.6354732158413847,0.39414422241897273,2,0.30185185185185187,0.33587962962962964,0.5083333333333333,0.0,0.7659593537512863,Consumption below 20% of zone mean for 50% of time (possible bypass); Sustained low consumption: 33% readings flagged (under-reporting risk)
5,M01004,Z01,Jayanagar,Medium,0.5668973014416666,0.17974537037037036,1.0,0.015945687248147947,2,0.04259259259259259,0.17974537037037036,0.0,0.06111111111111111,0.4401349785618818,Periodic high spikes: 6% readings exceed 3x zone mean (illegal equipment risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group
6,M05002,Z05,Rajajinagar,Medium,0.5630934520712206,0.1728009259259259,1.0,0.010452511988586375,2,0.1150462962962963,0.1728009259259259,0.0,0.11412037037037037,0.9720351173961183,Periodic high spikes: 11% readings exceed 3x zone mean (illegal equipment risk); Isolation Forest: meter profile classified as statistical outlier in zone peer group
7,M06005,Z06,HSR Layout,Medium,0.5588440050337373,0.15844907407407408,1.0,0.013547316431245703,2,0.05648148148148148,0.15844907407407408,0.08865740740740741,0.006481481481481481,0.3785312187649088,Low temporal consistency (autocorr=0.38) — consumption pattern irregular; Isolation Forest: meter profile classified as statistical outlier in zone peer group
8,M01005,Z01,Jayanagar,Medium,0.5266556707689495,0.17118055555555556,0.602621300013666,0.5027758252761548,3,0.11516203703703703,0.17118055555555556,0.6123842592592592,0.0,0.9817924178115686,Consumption below 20% of zone mean for 61% of time (possible bypass)
9,M07010,Z07,Malleshwaram,Medium,0.4137889208347231,0.0,1.0,0.055155683338892245,1,0.0,0.0,0.0,0.0,0.5706991046093554,Isolation Forest: meter profile classified as statistical outlier in zone peer group
10,M04002,Z04,Whitefield,Medium,0.4131981077097449,0.0,1.0,0.05279243083897954,1,0.0,0.0,0.0,0.0,0.5675160414715813,Isolation Forest: meter profile classified as statistical outlier in zone peer group
