priority_rank,meter_id,zone_id,zone_name,alert_tier,risk_score,l1_score,if_score,peer_score,signals_triggered,anomaly_rate,low_flag_rate,frac_very_low,frac_very_high,autocorr,reason_codes
1,REAL_FRAUD_PER_M01,Z_C,Whitefield Feeder,High,1.0,0.0,0.6146397421687759,0.0,1,0.05756544684396917,0.05756544684396917,0.05756544684396917,1.0,0.28574933758237453,under_report=5.8% spike=1.16x drop_trend=1.58
2,REAL_FRAUD_UND_M01,Z_B,Koramangala Feeder,High,0.7319560394080403,0.2585433452365557,0.05845226522472091,0.3576128099745149,1,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.41150509365668747,under_report=5.7% spike=1.20x drop_trend=1.71
3,REAL_FRAUD_ZON_M01,Z_D,Jayanagar Feeder,High,0.38610191621473017,0.11832677588390726,0.10301232690406525,0.12735219978606777,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40621260271954485,under_report=5.7% spike=1.20x drop_trend=1.72
4,REAL_Z_B_M01,Z_B,Koramangala Feeder,High,0.2961206854578225,0.021667026406961408,0.05845226522472091,0.2028548931095582,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.41150509365668736,under_report=5.7% spike=1.20x drop_trend=1.71
5,REAL_Z_D_M03,Z_D,Jayanagar Feeder,High,0.2874605508389437,0.1323352162512097,0.0,0.13810678241970312,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.4088176342097501,under_report=5.7% spike=1.07x drop_trend=1.72
6,REAL_Z_C_M02,Z_C,Whitefield Feeder,High,0.2713847205145093,0.2108317936754665,0.0,0.0,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.4025632977036271,under_report=5.7% spike=1.03x drop_trend=1.71
7,REAL_Z_B_M03,Z_B,Koramangala Feeder,High,0.19969078348773417,0.0,0.05549690300473875,0.12735219978606777,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40621260271954485,under_report=5.7% spike=1.20x drop_trend=1.72
8,REAL_FRAUD_SUD_M01,Z_A,Indiranagar Feeder,Medium,0.1791565673032038,0.06038943370719746,0.013778868915955256,0.1044370930568987,0,0.06041247135615582,0.06041247135615582,0.06041247135615582,1.0,0.45143947076797475,under_report=6.0% spike=1.09x drop_trend=1.78
9,REAL_Z_C_M01,Z_C,Whitefield Feeder,Medium,0.11369278909445414,0.023977972323956744,0.07449662121661338,0.0,0,0.05756544684396917,0.05756544684396917,0.05756544684396917,1.0,0.40956003285702774,under_report=5.8% spike=1.16x drop_trend=1.72
10,REAL_Z_A_M02,Z_A,Indiranagar Feeder,Medium,0.1044688757165863,0.01276527637919278,0.0032978293849382223,0.0702843994798178,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40838209409732845,under_report=5.7% spike=1.07x drop_trend=1.71
11,REAL_Z_A_M03,Z_A,Indiranagar Feeder,Medium,0.07612263481714608,0.005745857548985849,0.0020954943041535112,0.06531943194514414,0,0.05756544684396917,0.05756544684396917,0.05756544684396917,1.0,0.41065915392233204,under_report=5.8% spike=1.08x drop_trend=1.72
12,REAL_Z_B_M02,Z_B,Koramangala Feeder,Low,0.061796058754953864,0.0,0.0,0.07063683008285158,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40495791695615574,under_report=5.7% spike=1.03x drop_trend=1.71
13,REAL_Z_A_M01,Z_A,Indiranagar Feeder,Low,0.02908922518252711,0.0,0.0036066049410690693,0.005032069010330818,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.4052531269545402,under_report=5.7% spike=1.08x drop_trend=1.71
14,REAL_Z_D_M02,Z_D,Jayanagar Feeder,Low,0.013116974213463464,0.0,0.00875393345793235,0.0,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40641493024626485,under_report=5.7% spike=1.13x drop_trend=1.72
15,REAL_Z_D_M01,Z_D,Jayanagar Feeder,Low,0.007339749831757251,0.0,0.002305467134927741,0.0,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.410186908265981,under_report=5.7% spike=1.09x drop_trend=1.71
16,REAL_Z_C_M03,Z_C,Whitefield Feeder,Low,0.0,0.0,0.0,0.0,0,0.05749600722172071,0.05749600722172071,0.05749600722172071,1.0,0.40540621328951626,under_report=5.7% spike=1.07x drop_trend=1.71
