threshold,precision,recall,f1
0.05,0.273,0.75,0.4
0.075,0.286,0.5,0.364
0.1,0.286,0.5,0.364
0.125,0.286,0.5,0.364
0.15,0.286,0.5,0.364
0.175,0.286,0.5,0.364
0.2,0.286,0.5,0.364
0.225,0.286,0.5,0.364
0.25,0.333,0.5,0.4
0.275,0.333,0.5,0.4
0.3,0.333,0.5,0.4
0.325,0.333,0.5,0.4
0.35,0.333,0.5,0.4
0.375,0.333,0.5,0.4
0.4,0.333,0.5,0.4
0.425,0.333,0.5,0.4
0.45,0.333,0.5,0.4
0.475,0.333,0.5,0.4
0.5,0.4,0.5,0.444
0.525,0.25,0.25,0.25
0.55,0.25,0.25,0.25
0.575,0.25,0.25,0.25
0.6,0.333,0.25,0.286
0.625,0.333,0.25,0.286
0.65,0.333,0.25,0.286
0.675,0.5,0.25,0.333
0.7,0.5,0.25,0.333
0.725,0.5,0.25,0.333
0.75,0.5,0.25,0.333
0.775,0.5,0.25,0.333
0.8,0.5,0.25,0.333
0.825,0.5,0.25,0.333
0.85,0.5,0.25,0.333
0.875,0.5,0.25,0.333
0.9,1.0,0.25,0.4
0.925,1.0,0.25,0.4
0.95,1.0,0.25,0.4
