meter_id,zone_id,cluster,dominant_zone,zone_mismatch_flag
M01001,Z01,7,Z01,0
M01002,Z01,7,Z01,0
M01003,Z01,4,Z03,1
M01004,Z01,7,Z01,0
M01005,Z01,4,Z03,1
M01006,Z01,7,Z01,0
M01007,Z01,4,Z03,1
M01008,Z01,4,Z03,1
M01009,Z01,7,Z01,0
M01010,Z01,7,Z01,0
M02001,Z02,6,Z02,0
M02002,Z02,6,Z02,0
M02003,Z02,6,Z02,0
M02004,Z02,4,Z03,1
M02005,Z02,6,Z02,0
M02006,Z02,4,Z03,1
M02007,Z02,6,Z02,0
M02008,Z02,4,Z03,1
M02009,Z02,1,Z06,1
M02010,Z02,1,Z06,1
M03001,Z03,4,Z03,0
M03002,Z03,1,Z06,1
M03003,Z03,4,Z03,0
M03004,Z03,4,Z03,0
M03005,Z03,4,Z03,0
M03006,Z03,4,Z03,0
M03007,Z03,1,Z06,1
M03008,Z03,4,Z03,0
M03009,Z03,1,Z06,1
M03010,Z03,4,Z03,0
M04001,Z04,3,Z04,0
M04002,Z04,2,Z04,0
M04003,Z04,5,Z04,0
M04004,Z04,2,Z04,0
M04005,Z04,0,Z08,1
M04006,Z04,4,Z03,1
M04007,Z04,5,Z04,0
M04008,Z04,5,Z04,0
M04009,Z04,3,Z04,0
M04010,Z04,0,Z08,1
M05001,Z05,4,Z03,1
M05002,Z05,7,Z01,1
M05003,Z05,7,Z01,1
M05004,Z05,4,Z03,1
M05005,Z05,4,Z03,1
M05006,Z05,7,Z01,1
M05007,Z05,7,Z01,1
M05008,Z05,4,Z03,1
M05009,Z05,4,Z03,1
M05010,Z05,7,Z01,1
M06001,Z06,1,Z06,0
M06002,Z06,1,Z06,0
M06003,Z06,1,Z06,0
M06004,Z06,1,Z06,0
M06005,Z06,1,Z06,0
M06006,Z06,1,Z06,0
M06007,Z06,1,Z06,0
M06008,Z06,1,Z06,0
M06009,Z06,1,Z06,0
M06010,Z06,4,Z03,1
M07001,Z07,4,Z03,1
M07002,Z07,4,Z03,1
M07003,Z07,7,Z01,1
M07004,Z07,7,Z01,1
M07005,Z07,7,Z01,1
M07006,Z07,4,Z03,1
M07007,Z07,4,Z03,1
M07008,Z07,4,Z03,1
M07009,Z07,4,Z03,1
M07010,Z07,5,Z04,1
M08001,Z08,0,Z08,0
M08002,Z08,5,Z04,1
M08003,Z08,2,Z04,1
M08004,Z08,0,Z08,0
M08005,Z08,0,Z08,0
M08006,Z08,5,Z04,1
M08007,Z08,3,Z04,1
M08008,Z08,5,Z04,1
M08009,Z08,0,Z08,0
M08010,Z08,0,Z08,0
